pa_obligation_id;article;theme;obligation_or_commitment_summary;legal_status;requires_ratification_implementation_review;requires_domestic_legal_anchoring;possible_domestic_actor;implementation_domain;depends_on_pabs_annex;notes
"PA_ART15_005";"Article 15";"preparedness";"Each Party shall develop comprehensive, multisectoral, and as appropriate regional and national pandemic prevention, preparedness and response plans addressing pre-, post- and inter-pandemic periods, in a transparent and inclusive manner";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Subnational governments; National public health authority; One Health coordination mechanism";"emergency preparedness and response";"No";"Adopted text; comprehensive pandemic planning obligation; may require formal legal basis for national plan development and inter-agency coordination"
"PA_ART15_006";"Article 15";"national governance";"Each Party shall promote and facilitate, where appropriate, education and community engagement initiatives on pandemic and public health emergencies, with participation of relevant stakeholders in an inclusive and accessible manner";"implementation-oriented commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; National public health authority; Subnational governments";"national coordination";"No";"Adopted text; education and engagement obligations largely achievable through administrative action and public health programming"
"PA_ART16_001";"Article 16";"national governance";"Each Party shall take measures to strengthen science, public health and pandemic literacy in the population, and access to transparent, timely, accurate, science and evidence-based information, including on pandemic-related health product efficacy and safety, through risk communication and community engagement";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; National public health authority; Subnational governments";"national coordination";"No";"Adopted text; public awareness and health literacy obligation; largely achievable through administrative action; may require dedicated communication infrastructure and resources"
"PA_ART16_002";"Article 16";"information and reporting";"Each Party shall conduct research and inform policies on factors that hinder or strengthen adherence to public health and social measures and trust in science and public health institutions";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"National public health authority; Science and technology authority";"research and development";"No";"Adopted text; evidence-informed policy obligation; largely implementable through administrative investment in behavioral and social science research"
"PA_ART17_001";"Article 17";"international cooperation";"Parties shall cooperate, directly or through international organizations, to sustainably strengthen pandemic prevention, preparedness and response capacities of all Parties, particularly developing countries, including through technology transfer, scientific and legal expertise sharing, and financial assistance";"cooperation commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Foreign Affairs; Ministry of Health; Ministry of Finance";"international cooperation";"No";"Adopted text; international cooperation obligation requires domestic mandates for bilateral and multilateral health assistance; may require budgetary allocation and legal authority for international support"
"PA_ART17_002";"Article 17";"international cooperation";"Particular consideration shall be given to the specific needs and circumstances of developing country Parties in identifying and enabling access to sustainable and predictable means to support WHO Pandemic Agreement implementation";"cooperation commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Foreign Affairs; Ministry of Finance";"financing and budgetary planning";"No";"Adopted text; developing country support obligation; implementation requires ODA and financing policy direction"
"PA_ART18_001";"Article 18";"financing";"Parties shall strengthen sustainable and predictable financing, in an inclusive and transparent manner, for the implementation of the WHO Pandemic Agreement";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Finance; Ministry of Health; Legislature / parliament";"financing and budgetary planning";"No";"Adopted text; sustainable financing obligation requires domestic budgetary planning and possibly legislative appropriations"
"PA_ART18_002";"Article 18";"financing";"Each Party, subject to national law and available resources, shall: maintain or increase domestic funding for pandemic prevention, preparedness and response; work to mobilize additional financial resources for developing countries; promote innovative financing within bilateral and multilateral mechanisms; and encourage inclusive governance of existing financing entities";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Finance; Legislature / parliament; Ministry of Health";"financing and budgetary planning";"No";"Adopted text; domestic funding maintenance obligation has budgetary and potentially legislative implications; innovative financing promotion requires policy development"
"PA_ART18_003";"Article 18";"financing";"A Coordinating Financial Mechanism is hereby established (utilizing the IHR 2005 Coordinating Financial Mechanism) to promote sustainable financing for Agreement implementation, support capacity strengthening, and contribute to surge financing; governed by the Conference of the Parties";"institutional commitment";"Yes";"Yes";"Ministry of Finance; Ministry of Foreign Affairs; Ministry of Health";"financing and budgetary planning";"No";"Adopted text; CFM is established and tied to IHR 2005 CFM; terms of reference to be adopted by COP within 12 months of entry into force; domestic participation requires coordination of finance and health ministries"
"PA_ART19_001";"Article 19";"implementation and review";"A Conference of the Parties is hereby established; it shall regularly take stock of Agreement implementation, review its functioning every five years, take decisions to promote effective implementation, and may establish subsidiary bodies";"institutional commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Ministry of Foreign Affairs";"international cooperation";"No";"Adopted text; COP is established; participation requires domestic coordination between health and foreign affairs ministries; COP to adopt rules of procedure and financial rules at first session"
"PA_ART19_002";"Article 19";"implementation and review";"The Conference of the Parties at its second meeting shall consider and approve the establishment of a facilitative, non-punitive implementation mechanism to review Party reports, make non-binding recommendations and operate under COP-adopted rules of procedure";"institutional commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Ministry of Foreign Affairs";"reporting and accountability";"No";"Adopted text; implementation mechanism to be established; non-punitive and facilitative in nature; domestic reporting and review processes should align with Art. 21 reporting requirements"
"PA_ART21_001";"Article 21";"implementation and review";"Each Party shall report periodically to the Conference of the Parties, through the Secretariat, on its implementation of the WHO Pandemic Agreement; information requirements, frequency and format to be determined by the COP; reports shall be made publicly available online";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; National IHR Authority / National IHR Focal Point; National public health authority";"reporting and accountability";"No";"Adopted text; periodic reporting obligation; domestic data collection and inter-agency coordination required; confidentiality and privacy protections apply per Art. 21.4; format TBD by COP"
"PA_ART21_002";"Article 21";"implementation and review";"The reporting and exchange of information under the Agreement shall be subject to national law regarding confidentiality and privacy; Parties shall protect, as mutually agreed, any confidential information exchanged";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Data protection authority; Ministry of Health; Legislature / parliament";"reporting and accountability";"No";"Adopted text; data protection and confidentiality framework for reporting requires domestic legal basis; alignment with domestic privacy legislation needed"
"PA_ART22_001";"Article 22";"implementation and review";"Nothing in the Agreement shall be interpreted as providing the WHO Secretariat, including the Director-General, any authority to direct, order, alter or otherwise prescribe national law or policy, or to mandate specific actions such as banning travellers, imposing vaccination mandates or implementing lockdowns";"framework obligation";"No";"No";"TBD after country mapping";"legal and regulatory framework";"No";"Adopted text; sovereignty safeguard clause; reaffirms national legislative autonomy; no domestic implementation required"
"PA_ART24_001";"Article 24";"international cooperation";"Parties recognize that the WHO Pandemic Agreement and the IHR (2005) and other relevant international agreements should be interpreted so as to be compatible; Agreement does not affect rights and obligations under other international agreements";"framework obligation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Ministry of Foreign Affairs; Legislature / parliament";"legal and regulatory framework";"No";"Adopted text; coherence clause with IHR 2005; domestic implementation should be reviewed for consistency between Agreement and IHR obligations; no standalone domestic obligation"
"PA_ART31_001";"Article 31";"implementation and review";"The WHO Pandemic Agreement shall be open for signature after adoption of the PABS Annex by the Health Assembly, at WHO Headquarters and then UN Headquarters on dates to be determined by the Health Assembly";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Foreign Affairs; Legislature / parliament";"parliamentary/legal review";"Yes";"Adopted text; signature is contingent on PABS Annex adoption; States cannot sign until the Annex is adopted; domestic ratification process should not begin before Annex is in place"
"PA_ART32_001";"Article 32";"implementation and review";"The WHO Pandemic Agreement shall be subject to ratification, acceptance, approval, formal confirmation or accession by all States and regional economic integration organizations; instruments to be deposited with the Depositary (UN Secretary-General)";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Legislature / parliament; Ministry of Foreign Affairs";"parliamentary/legal review";"Yes";"Adopted text; ratification process requires domestic constitutional procedures; national parliaments may need to approve; PABS Annex must also be adopted before signature opens"
"PA_ART33_001";"Article 33";"implementation and review";"The WHO Pandemic Agreement shall enter into force on the thirtieth day following deposit of the sixtieth instrument of ratification, acceptance, approval, formal confirmation or accession";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Ministry of Foreign Affairs; Legislature / parliament";"parliamentary/legal review";"Yes";"Adopted text; entry into force depends on 60 ratifications; domestic legal anchoring of obligations begins upon entry into force for each Party; prior measures should be voluntary"
"PA_GENERAL_001";"Article 12 / Article 31 / Article 32";"PABS";"The WHO Pandemic Agreement is not yet open for signature: signature requires prior adoption of the PABS Annex by the Health Assembly; until the Annex is adopted and the Agreement enters into force, all Agreement provisions are aspirational and no State is bound as a Party";"uncertain / requires review";"TBD after PABS Annex adoption";"TBD after PABS Annex adoption";"TBD after country mapping";"legal and regulatory framework";"Yes";"Cross-cutting note; the Agreement was adopted 20 May 2025 but cannot be signed until PABS Annex is adopted (WHA78.1 para. 3); preliminary domestic analysis may begin but no legally binding obligations arise prior to entry into force per Art. 33"
